TABLE S1,,HELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b_d,"base_distance
b_d = ∥p#5) - p(#17)∥  for hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f_cun,f_cun= 1/3 * b_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,t_d,Total_distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p_?,coordinates of acupoint name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p (# $?),coordinates of keypoint number $? from MediaPipe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p($fraction_{$1,$2})",coordinates for fraction distance between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p(mid_{$1,$2})",coordinates for middle between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"d⊥(p$1, p$2, p$3, distance)",Perpendicular distance from the point $3 that is between  points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,||.||,the norm (magnitude) of a vector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,*, scalar-vector multiplication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_x,Represents the coordinates along the x-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_y,Represents the coordinates along the y-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/,devision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST-1,Chengqi,Stomach,"On the face, between the eyeball and theinfraorbital margin, directly inferior to thepupil.","Any eye issue, although ST 2 is a good alternative and arguably safer to needle.
Excessive lacrimation, redness, dryness, painful a/or itchy eyes/eyelids, twitching of the eyelids.
Visual disturbances, night blindness.",p_ST1= p(#450),p_ST1= p(#230),,,,,,,,,,,,,,,,,,,,,,,,,
ST-2,Sibai,Stomach,"On the face, in the infraorbital foramen.Below eye, lateral to ST-1","Any eye problem - red, painful and/or itchy eyes, excessive lacrimation, twitching of the eyelids.
Facial paralysis.
Good alternative to ST 1 and safer to needle for those not properly trained.",p_ST2= p(#330),p_ST2= p(#101),,,,,,,,,,,,,,,,,,,,,,,,,
ST-3,Juliao,Stomach,"On the face, directly inferior to the pupil, atthe same level as the inferior border of theala of the nose. Below eye, lateral to ST-2","Local point - Twitching eyelids, pain a/or swelling of the cheek, trigeminal neuralgia, toothache.
Deviation from stroke, bell's palsy, facial paralysis.
Swelling of the knee (Deadman text).",p_ST3= p(#426),p_ST3= p(#206),,,,,,,,,,,,,,,,,,,,,,,,,
ST-4,Dicang,Stomach,"On the face, in the depression between thesuperomedial parts of the inner canthus ofthe eye and the medial wall of the orbit","Facial pain - Bell's palsy, facial paralysis, trigeminal neuralgia, deviation of mouth from stroke, toothache.
Inability to close the eye, eye twitching, itching, night blindness.
Inability to eat.
May be helpful for atrophy and/or movement issues within the legs.",p_ST4= p(#287),p_ST4= p(#57),,,,,,,,,,,,,,,,,,,,,,,,,
ST-5,Daying,Stomach,"On the face, anterior to the angle of themandible, in the depression anterior to themasseter attachment, over the facial artery.","Local point - Pain a/or swelling of the cheek/jaw, neck pain, lockjaw, toothache.
Stiff tongue leading to speech problems, frequent yawning.
Inability to close eye.","t_d = ∥p(#365) - p(#367)∥
p_ST5= p(#365) +(p(#365)  - p(#367)) * (1/2*t_d)","t_d = ∥p(#136) - p(#138)∥
p_ST5= p(#136) +(p(#138) - p(#136)) * (1/2*t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
ST-6,Jiache,Stomach,"On the face, one fingerbreadth (middlefinger) anterosuperior to the angle of themandible","Eliminate wind from the face - TMJ, toothache, Bell's palsy, twitching, facial pain/paralysis.
Loss of voice, deviation of mouth/face, lockjaw.",p_ST6= p(#288),p_ST6= p(#58),,,,,,,,,,,,,,,,,,,,,,,,,
ST-7,Xiaguan,Stomach,"On the face, in the depression between themidpoint of the inferior border of the zygomatic arch and the mandibular notch","TMJ, facial pain, lower jaw toothache.
Hearing issues, deafness, tinnitus, ear pain, ear discharge/infections.","t_d = ∥p(#366) - p(#454)∥
p_ST7= p(#366) +(p(#454)  - p(#366)) * (1/3*t_d)","t_d = ∥p(#137) - p(#254)∥
p_ST7= p(#137) +(p(#254)  - p(#137)) * (1/3*t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
TE-23,Sizhukong,Triple Energizer,"On the head, in the depression at the lateralend of the eyebrow.","Eye pain, redness, swelling, twitching, drooping eyelid.
Liver Wind or Liver Fire headache, combine with local points",p_TE23= p(#300),p_TE23= p(#70),,,,,,,,,,,,,,,,,,,,,,,,,

Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT-7,Shenmen,Heart,"On the anteromedial aspect of the wrist,radial to the flexor carpi ulnaris tendon, onthe palmar wrist crease.Note: In the depression radial to the proximal border of the pisiform bone, on thepalmar wrist crease.","Tonify deficiencies of the HT Qi, Blood, Yin and Yang.
Emotional issues, especially those with related sleep or thinking manifestations - insomnia, muddled thinking.
Heart and Phlegm fire leading to insomnia, anxiety, mania.","HT7=d⊥(p(#0), p(#1), p(#0), -1/3*base_distance)","HT7=d⊥(p(#0), p(#1), p(#0), 1/3*base_distance)",,,,,,,,,,,,,,,,,,,,,,,,,
HT-8,Shaofu,Heart,"On the palm of the hand, in the depressionbetween the fourth and fifth metacarpalbones, proximal to the fifth metacarpophalangeal joint.","Channel issues, sore throat, tongue stiffness, pain along the ulnar aspect of the arms.
Heart Qi Deficiency - palpitations, fear, hot palms.
Local point for arm pain, elbow pain, and/or pain in the pinky finger.","t_d = ∥p(mid_#13, #17) - p(#0)∥
p_HT8= p(mid_{#13, #17} +(p(#0)  - p(mid_{#13, #17}) * 1/5*(b_d/t_d)","t_d = ∥p(mid_#13, #17) - p(#0)∥
p_HT8= p(mid_{#13, #17} +(p(#0)  - p(mid_{#13, #17}) * 1/5*(b_d/t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
HT-9,Shaochong,Heart,"On the little finger, radial to the distalphalanx, 0.1 f-cun proximal-lateral to theradial corner of the little fingernail, at theintersection of the vertical line of the radialborder of the nail and horizontal line of thebase of the little fingernail.","Restore consciousness - heart attack, stroke.
Emergency heart attack point - strong stimulation.
Fullness below the heart - stagnation, pain a/or distention in the HT area.","p_HT9=d⊥(p(#19), p(#20), p(2/3_{#19,#20}), -1/5 *f_cun)","p_HT9= d⊥(p(#19), p(#20), p(2/3_{#19,#20}), 1/5 *f_cun)",,,,,,,,,,,,,,,,,,,,,,,,,
