                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.0575,                 3.2895,                0.21579,                0.69626,                 1.4879,                0.77759,                0.78678,                0.70817,                 0.1908,                0.95639,                0.95702,                0.93688,                0.41516,                 2.6868,                 2.2933,                0.13416,                0.95058,                 2.9712,              0.0098918,              0.0098918,              0.0098918
                     23,                 1.0577,                 3.2339,                0.21408,                0.69204,                 1.4844,                 0.5437,                 0.5438,                0.37206,                0.07196,                0.89571,                0.89587,                0.81266,                0.32329,                 3.2627,                 2.7979,                0.13196,                 1.4434,                 3.8482,              0.0098808,              0.0098808,              0.0098808
                     24,                 1.0546,                 3.2009,                0.20851,                0.69913,                  1.485,                0.62637,                0.62645,                0.45734,                 0.0949,                0.91724,                0.91736,                0.87062,                0.31015,                 3.1567,                 2.4301,                0.11746,                 1.0546,                 3.8006,              0.0098692,              0.0098692,              0.0098692
                     25,                 1.0411,                 3.1997,                 0.2093,                0.68074,                 1.4704,                0.77082,                0.80165,                0.70346,                0.18784,                0.90486,                0.92562,                0.89045,                0.36648,                 2.6169,                 2.3701,                0.10808,                0.94803,                 2.8704,              0.0098571,              0.0098571,              0.0098571
                     26,                 1.0372,                 3.1226,                0.20421,                0.66637,                 1.4648,                0.75204,                0.75207,                0.67894,                0.15838,                0.95691,                0.95702,                0.92087,                0.37983,                 2.9059,                 2.2855,                0.11736,                0.90133,                 3.3849,              0.0098445,              0.0098445,              0.0098445
                     27,                 1.0233,                 3.0604,                0.19739,                0.65223,                 1.4498,                 0.6148,                0.61488,                 0.4834,                0.12182,                0.92054,                0.92066,                 0.8802,                0.37876,                 3.1572,                 2.2995,                0.10355,                0.94948,                 3.7568,              0.0098313,              0.0098313,              0.0098313
                     28,                 1.0188,                  3.014,                0.19273,                0.65914,                 1.4522,                0.77207,                0.80826,                0.70656,                0.19646,                0.93197,                0.94876,                0.92803,                0.39323,                 2.6181,                 2.2857,                0.11771,                0.96675,                 3.0595,              0.0098177,              0.0098177,              0.0098177
                     29,                 1.0184,                 2.9889,                0.19085,                0.65169,                  1.448,                0.75574,                0.75689,                0.65567,                0.16534,                0.95194,                0.95207,                0.92154,                0.42455,                 2.8675,                 2.1053,                0.10012,                0.90554,                 3.2778,              0.0098035,              0.0098035,              0.0098035
                     30,                 1.0183,                 2.9848,                0.18731,                0.65603,                 1.4524,                0.77013,                0.78633,                0.68955,                0.18481,                0.93121,                 0.9405,                 0.9073,                0.37367,                  2.702,                 2.2716,                 0.0996,                0.87879,                 3.1579,              0.0097887,              0.0097887,              0.0097887
                     31,                 1.0026,                 2.8872,                0.18544,                0.64173,                 1.4331,                0.79021,                0.80938,                 0.7154,                0.17552,                0.95159,                0.95868,                0.93393,                0.41371,                 2.7258,                 2.2261,                0.08853,                 0.9023,                 3.2822,              0.0097735,              0.0097735,              0.0097735
                     32,                 1.0045,                 2.8617,                0.18326,                0.64832,                 1.4405,                0.77756,                0.80311,                0.68071,                0.17637,                0.94229,                0.94545,                0.91134,                0.40181,                 2.6798,                 2.0313,                0.09263,                0.90018,                 3.1339,              0.0097577,              0.0097577,              0.0097577
                     33,                  1.004,                 2.8701,                0.18076,                0.64132,                 1.4374,                0.73687,                0.74524,                0.61211,                0.15605,                0.95833,                0.95868,                0.93304,                0.41937,                 2.7635,                 2.1551,                0.09482,                0.94091,                 3.0715,              0.0097415,              0.0097415,              0.0097415
                     34,                0.99955,                 2.8143,                0.17939,                0.63429,                 1.4298,                0.82252,                0.85124,                0.79403,                0.25261,                0.93904,                0.97025,                 0.9594,                0.48965,                  2.461,                 1.9487,                 0.0829,                0.91956,                 2.7333,              0.0097247,              0.0097247,              0.0097247
                     35,                0.99419,                  2.806,                0.17419,                0.63135,                 1.4261,                0.59661,                0.60165,                0.41503,                0.11088,                0.96582,                 0.9719,                0.96391,                0.47764,                 3.0129,                 1.9138,                0.08667,                 1.0363,                 3.3729,              0.0097074,              0.0097074,              0.0097074
                     36,                0.99007,                 2.7809,                0.17301,                0.62381,                 1.4228,                0.78212,                0.80992,                0.65943,                0.16905,                0.96995,                0.97025,                0.95016,                 0.4666,                 2.6962,                 1.8805,                0.08437,                0.95205,                 3.2817,              0.0096895,              0.0096895,              0.0096895
                     37,                0.98027,                 2.7918,                0.17024,                0.62464,                 1.4148,                0.80606,                0.82975,                0.74157,                0.20348,                0.96007,                0.96033,                0.93876,                0.44839,                 2.6469,                  2.012,                0.10326,                0.81095,                 2.9536,              0.0096712,              0.0096712,              0.0096712
                     38,                0.97844,                 2.7491,                0.16999,                0.62462,                 1.4191,                0.75527,                0.75537,                0.69347,                0.20049,                0.94532,                0.94545,                0.91507,                0.46037,                   2.74,                 1.9681,                0.08124,                 0.8562,                 3.2655,              0.0096524,              0.0096524,              0.0096524
                     39,                 0.9718,                 2.6894,                0.16666,                0.61659,                 1.4114,                0.78139,                0.80992,                0.68255,                 0.1775,                0.93194,                0.96033,                0.93973,                0.43412,                 2.5238,                 2.0293,                0.08125,                 0.9299,                 2.8282,              0.0096331,              0.0096331,              0.0096331
                     40,                0.97715,                 2.7082,                0.16514,                0.61851,                 1.4097,                0.76699,                0.79437,                0.65236,                0.17295,                 0.9538,                0.96198,                0.94038,                0.40732,                 2.6077,                 1.9969,                0.08192,                0.91023,                 3.1411,              0.0096132,              0.0096132,              0.0096132
                     41,                0.96604,                 2.6682,                0.16426,                0.61281,                 1.4049,                0.75192,                0.75207,                0.62541,                0.15522,                0.96511,                0.96529,                0.94317,                0.45435,                 2.8515,                 1.9756,                0.07218,                0.90204,                 3.4332,              0.0095929,              0.0095929,              0.0095929
                     42,                0.97696,                 2.6978,                0.16469,                 0.6192,                 1.4174,                 0.8346,                0.83471,                0.80103,                0.24078,                0.97178,                 0.9719,                0.96371,                 0.4929,                 2.6576,                 1.9855,                0.07763,                0.82632,                 3.0894,              0.0095721,              0.0095721,              0.0095721
                     43,                0.96702,                  2.678,                0.16175,                0.60823,                 1.4063,                 0.7593,                0.80496,                0.65223,                0.17842,                0.96003,                 0.9686,                0.95285,                0.44824,                  2.561,                 1.8982,                0.06666,                0.90878,                  3.138,              0.0095507,              0.0095507,              0.0095507
                     44,                0.95255,                 2.6089,                 0.1616,                0.61168,                 1.3972,                0.78743,                0.80823,                0.73615,                0.24366,                0.96731,                0.97025,                0.95722,                0.51859,                 2.5252,                 1.8356,                0.07523,                0.86871,                  3.125,              0.0095289,              0.0095289,              0.0095289
                     45,                0.95886,                 2.5879,                0.15833,                0.60059,                 1.3971,                0.76491,                0.77444,                0.70389,                0.21091,                 0.9734,                0.97355,                0.96678,                0.47171,                 2.6988,                 2.0108,                0.06658,                0.85166,                 3.0485,              0.0095066,              0.0095066,              0.0095066
                     46,                0.94699,                 2.5267,                0.15482,                 0.5908,                 1.3874,                0.80361,                0.80484,                0.71406,                0.20874,                0.97674,                0.97686,                0.96445,                0.50192,                 2.5914,                 1.9596,                0.07788,                 0.8676,                 3.1936,              0.0094838,              0.0094838,              0.0094838
                     47,                0.95237,                 2.5524,                0.15477,                0.59399,                 1.3917,                0.66936,                0.66942,                0.50509,                0.12193,                0.98005,                0.98017,                0.96968,                0.49188,                 2.9354,                 1.8388,                0.07205,                0.94276,                 3.5311,              0.0094605,              0.0094605,              0.0094605
                     48,                0.94371,                 2.4846,                0.15465,                0.58602,                 1.3869,                0.80935,                0.83802,                0.76983,                0.25277,                0.98286,                0.98512,                0.97809,                 0.5315,                  2.436,                 1.7663,                0.06755,                0.91678,                 2.8736,              0.0094367,              0.0094367,              0.0094367
                     49,                0.94074,                 2.4794,                0.15237,                0.58171,                 1.3837,                0.78894,                0.79083,                0.74787,                0.22984,                0.98335,                0.98347,                0.97514,                0.53151,                 2.6951,                 1.8255,                0.06992,                0.77833,                 3.2265,              0.0094125,              0.0094125,              0.0094125
                     50,                0.94127,                 2.4674,                0.15114,                0.58608,                  1.384,                0.77015,                0.77025,                0.71521,                0.25593,                0.97839,                0.97851,                0.96357,                0.48129,                 2.5376,                 1.9895,                0.09343,                 0.8524,                 3.1129,              0.0093877,              0.0093877,              0.0093877
                     51,                0.94202,                  2.478,                0.14993,                0.58297,                 1.3785,                0.79825,                0.79835,                0.73304,                0.20096,                0.97675,                0.97686,                0.96973,                0.51475,                 2.6973,                 1.7801,                0.06824,                0.79341,                 3.3609,              0.0093625,              0.0093625,              0.0093625
                     52,                0.93778,                 2.4556,                0.15037,                0.58257,                 1.3758,                0.77135,                0.77509,                0.63089,                0.17154,                0.96628,                 0.9686,                0.94681,                0.47994,                 2.6221,                 1.8335,                0.06175,                0.87695,                 3.3306,              0.0093368,              0.0093368,              0.0093368
                     53,                 0.9322,                 2.4331,                0.14769,                0.58204,                 1.3745,                0.72719,                0.72727,                0.62191,                0.19244,                0.98667,                0.98678,                0.98127,                0.51287,                  2.813,                 1.7971,                0.06227,                0.81911,                 3.4426,              0.0093107,              0.0093107,              0.0093107
